threshold, TPR, FPR
0, 1.0, 1.0
0.1, 0.9999666666666668, 0.9999566666666667
0.2, 0.9997833333333332, 0.9998633333333333
0.30000000000000004, 0.9997833333333334, 0.9997266666666667
0.4, 0.9994999999999999, 0.99938
0.5, 0.9988833333333332, 0.99898
0.6, 0.99445, 0.9946733333333334
0.7, 0.97155, 0.9709933333333334
0.7999999999999999, 0.8882, 0.8910966666666668
0.8999999999999999, 0.7329333333333334, 0.7246233333333333
0.9999999999999999, 0.4994, 0.50012
1.0999999999999999, 0.27338333333333337, 0.26738333333333336
1.2, 0.12531666666666666, 0.11769333333333333
1.3, 0.04178333333333334, 0.043866666666666665
1.4000000000000001, 0.013316666666666666, 0.013013333333333333
1.5000000000000002, 0.0036999999999999997, 0.003656666666666667
1.6000000000000003, 0.0014000000000000002, 0.0013966666666666667
1.7000000000000004, 0.0009666666666666666, 0.0006933333333333335
1.8000000000000005, 0.0010666666666666667, 0.00047
1.9000000000000006, 0.0004833333333333333, 0.0003966666666666667
2.0000000000000004, 0.0005166666666666667, 0.0002566666666666667
2.1000000000000005, 0.00038333333333333334, 0.0003
2.2000000000000006, 0.00031666666666666665, 0.00016333333333333334
2.3000000000000007, 0.00031666666666666665, 8.999999999999998e-05
2.400000000000001, 0.00024999999999999995, 8.666666666666668e-05
2.500000000000001, 0.00018333333333333334, 4.666666666666667e-05
2.600000000000001, 0.00023333333333333333, 5e-05
2.700000000000001, 8.333333333333333e-05, 3.6666666666666666e-05
2.800000000000001, 3.3333333333333335e-05, 2.3333333333333336e-05
2.9000000000000012, 0.0001333333333333333, 2.666666666666667e-05
3.0000000000000013, 3.3333333333333335e-05, 6.6666666666666675e-06
3.1000000000000014, 6.666666666666667e-05, 6.6666666666666675e-06
3.2000000000000015, 6.666666666666667e-05, 1e-05
3.3000000000000016, 0.0001, 0.0
