0.5, 0.02
threshold, TPR, FPR
0, 1.0, 1.0
0.2, 0.9998666666666667, 0.9987911111111112
0.4, 0.999488888888889, 0.9954488888888889
0.6000000000000001, 0.999, 0.990951111111111
0.8, 0.9981333333333332, 0.9764577777777778
1.0, 0.9945777777777778, 0.3810844444444444
1.2, 0.9869111111111111, 0.02439555555555556
1.4, 0.9794444444444445, 0.007128888888888889
1.5999999999999999, 0.9727111111111112, 0.00352
1.7999999999999998, 0.9623777777777778, 0.0018844444444444444
1.9999999999999998, 0.9571111111111111, 0.0011644444444444445
2.1999999999999997, 0.9549111111111112, 0.00064
2.4, 0.9382222222222222, 0.00028000000000000003
2.6, 0.9326888888888889, 0.0003333333333333333
2.8000000000000003, 0.919088888888889, 3.9999999999999996e-05
3.0000000000000004, 0.9232222222222223, 4.4444444444444447e-05
3.2000000000000006, 0.9105333333333333, 1.7777777777777777e-05
3.400000000000001, 0.9046444444444445, 4.444444444444444e-06
3.600000000000001, 0.8907777777777778, 4.444444444444444e-06
3.800000000000001, 0.8762, 4.444444444444444e-06
4.000000000000001, 0.8829777777777778, 4.444444444444444e-06
4.200000000000001, 0.8618888888888888, 0.0
