10, 0.02
threshold, TPR, FPR
0, 1.0, 1.0
0.2, 0.9980444444444444, 0.9970355555555557
0.4, 0.9937999999999999, 0.9928133333333333
0.6000000000000001, 0.9664666666666667, 0.9734666666666666
0.8, 0.8541777777777778, 0.7955866666666666
1.0, 0.7344666666666666, 0.4331066666666667
1.2, 0.6087111111111111, 0.16963555555555554
1.4, 0.5376888888888889, 0.05728888888888889
1.5999999999999999, 0.44953333333333334, 0.02487111111111111
1.7999999999999998, 0.3523111111111111, 0.013022222222222221
1.9999999999999998, 0.28391111111111106, 0.008333333333333333
2.1999999999999997, 0.22286666666666666, 0.00528
2.4, 0.14346666666666666, 0.003435555555555556
2.6, 0.09724444444444445, 0.0023422222222222225
2.8000000000000003, 0.06835555555555556, 0.0016888888888888889
3.0000000000000004, 0.0504, 0.001408888888888889
3.2000000000000006, 0.024244444444444443, 0.0010933333333333333
3.400000000000001, 0.0234, 0.0007155555555555555
3.600000000000001, 0.009355555555555554, 0.0005022222222222222
3.800000000000001, 0.006688888888888889, 0.0003733333333333333
4.000000000000001, 0.0028888888888888888, 0.0002888888888888889
4.200000000000001, 0.002266666666666667, 0.00016888888888888889
4.400000000000001, 0.0010666666666666667, 0.00015555555555555556
4.600000000000001, 0.0012222222222222222, 0.0001466666666666667
4.800000000000002, 0.0005111111111111111, 8.888888888888889e-05
5.000000000000002, 0.0004444444444444444, 5.3333333333333326e-05
5.200000000000002, 0.0004444444444444444, 4e-05
5.400000000000002, 0.00013333333333333334, 4.88888888888889e-05
5.600000000000002, 0.00017777777777777779, 4.4444444444444447e-05
5.8000000000000025, 4.4444444444444447e-05, 3.111111111111111e-05
6.000000000000003, 2.2222222222222223e-05, 1.3333333333333332e-05
6.200000000000003, 0.00015555555555555556, 1.7777777777777777e-05
6.400000000000003, 0.0, 0.0
