5, 0.2
threshold, TPR, FPR
0, 1.0, 1.0
0.2, 0.9997555555555556, 0.9988800000000001
0.4, 0.9994, 0.9954577777777778
0.6000000000000001, 0.9985555555555555, 0.9909466666666665
0.8, 0.9976888888888888, 0.980111111111111
1.0, 0.9824888888888889, 0.38350222222222224
1.2, 0.945288888888889, 0.012182222222222221
1.4, 0.8797777777777777, 0.005773333333333334
1.5999999999999999, 0.793, 0.0035600000000000002
1.7999999999999998, 0.7305333333333333, 0.0020133333333333336
1.9999999999999998, 0.6918000000000001, 0.0010933333333333333
2.1999999999999997, 0.6578444444444445, 0.0005377777777777778
2.4, 0.6191555555555556, 0.00019555555555555556
2.6, 0.5960666666666666, 0.0001422222222222222
2.8000000000000003, 0.5867999999999999, 6.222222222222223e-05
3.0000000000000004, 0.5603111111111111, 3.555555555555555e-05
3.2000000000000006, 0.5457555555555555, 8.888888888888888e-06
3.400000000000001, 0.5277777777777778, 0.0
