threshold, TPR, FPR
0, 1.0, 1.0
0.2, 0.9998666666666667, 0.9996766666666668
0.4, 0.9995666666666666, 0.9987733333333333
0.6000000000000001, 0.9988333333333334, 0.9972833333333333
0.8, 0.9938666666666668, 0.9379
1.0, 0.9172666666666668, 0.39654666666666666
1.2, 0.7216333333333335, 0.032556666666666664
1.4, 0.5318999999999999, 0.00267
1.5999999999999999, 0.37998333333333334, 0.0014166666666666668
1.7999999999999998, 0.2795666666666667, 0.00078
1.9999999999999998, 0.19466666666666668, 0.00044
2.1999999999999997, 0.14326666666666668, 0.00029666666666666665
2.4, 0.10121666666666666, 0.0001833333333333333
2.6, 0.06701666666666667, 6.333333333333333e-05
2.8000000000000003, 0.052583333333333336, 2.666666666666667e-05
3.0000000000000004, 0.030266666666666664, 2.666666666666667e-05
3.2000000000000006, 0.026766666666666664, 1.3333333333333335e-05
3.400000000000001, 0.019366666666666667, 1.3333333333333335e-05
3.600000000000001, 0.0129, 0.0
