threshold, TPR, FPR
0, 1.0, 1.0
0.1, 1.0, 0.99993
0.2, 0.9999666666666668, 0.9997933333333333
0.30000000000000004, 1.0, 0.99955
0.4, 0.9998999999999999, 0.9991966666666667
0.5, 0.99965, 0.9971933333333333
0.6, 0.9971833333333334, 0.9800800000000001
0.7, 0.9895333333333333, 0.91531
0.7999999999999999, 0.9724833333333333, 0.7800433333333333
0.8999999999999999, 0.9379, 0.59262
0.9999999999999999, 0.9030333333333332, 0.4193933333333333
1.0999999999999999, 0.8591833333333333, 0.2710166666666667
1.2, 0.8297500000000001, 0.17927666666666667
1.3, 0.8091833333333334, 0.11575666666666666
1.4000000000000001, 0.7511166666666665, 0.07518333333333334
1.5000000000000002, 0.7299666666666668, 0.044750000000000005
1.6000000000000003, 0.7008833333333334, 0.02849666666666667
1.7000000000000004, 0.6867666666666666, 0.016333333333333335
1.8000000000000005, 0.64555, 0.011633333333333334
1.9000000000000006, 0.6207333333333334, 0.005783333333333332
2.0000000000000004, 0.5944333333333334, 0.0030666666666666668
2.1000000000000005, 0.5787666666666667, 0.0017133333333333334
2.2000000000000006, 0.5514, 0.0008066666666666668
2.3000000000000007, 0.5362, 0.00069
2.400000000000001, 0.4986833333333333, 0.0007333333333333332
2.500000000000001, 0.48546666666666666, 0.00047333333333333336
2.600000000000001, 0.46945, 0.00038666666666666667
2.700000000000001, 0.47553333333333336, 0.0003333333333333333
2.800000000000001, 0.44878333333333337, 0.00019999999999999998
2.9000000000000012, 0.41643333333333327, 5.666666666666667e-05
3.0000000000000013, 0.3987333333333334, 0.00011333333333333334
3.1000000000000014, 0.4129, 0.00012
3.2000000000000015, 0.3683166666666666, 6.666666666666667e-05
3.3000000000000016, 0.3609166666666667, 2.3333333333333336e-05
3.4000000000000017, 0.33866666666666667, 1.6666666666666667e-05
3.5000000000000018, 0.3490333333333333, 8.666666666666668e-05
3.600000000000002, 0.33188333333333336, 1e-05
3.700000000000002, 0.32195, 2.3333333333333336e-05
3.800000000000002, 0.32970000000000005, 2.3333333333333336e-05
3.900000000000002, 0.2869166666666667, 3.3333333333333337e-06
4.000000000000002, 0.27143333333333336, 6.6666666666666675e-06
4.100000000000001, 0.2670666666666666, 3.3333333333333337e-06
4.200000000000001, 0.2777833333333333, 0.0
