threshold, TPR, FPR
0, 1.0, 1.0
0.1, 0.9999833333333333, 0.9999466666666667
0.2, 0.9999333333333333, 0.99984
0.30000000000000004, 0.99985, 0.9996666666666666
0.4, 0.9996666666666667, 0.9993833333333333
0.5, 0.9995666666666668, 0.9987233333333334
0.6, 0.9977499999999999, 0.9929433333333333
0.7, 0.985, 0.9634133333333333
0.7999999999999999, 0.9486333333333333, 0.8713333333333334
0.8999999999999999, 0.8634666666666667, 0.6883900000000001
0.9999999999999999, 0.73805, 0.45239
1.0999999999999999, 0.5806, 0.22613000000000003
1.2, 0.45070000000000005, 0.09642333333333335
1.3, 0.3533833333333334, 0.03421333333333333
1.4000000000000001, 0.25656666666666667, 0.009903333333333333
1.5000000000000002, 0.22286666666666669, 0.0027866666666666665
1.6000000000000003, 0.17711666666666667, 0.00116
1.7000000000000004, 0.14251666666666665, 0.00067
1.8000000000000005, 0.1204, 0.00043666666666666664
1.9000000000000006, 0.10408333333333332, 0.00038333333333333334
2.0000000000000004, 0.08600000000000001, 0.00028333333333333335
2.1000000000000005, 0.07581666666666666, 0.00020333333333333333
2.2000000000000006, 0.06518333333333333, 0.0001833333333333333
2.3000000000000007, 0.050916666666666666, 0.0001333333333333333
2.400000000000001, 0.06418333333333333, 9.333333333333333e-05
2.500000000000001, 0.04533333333333334, 7.999999999999999e-05
2.600000000000001, 0.0299, 3e-05
2.700000000000001, 0.038016666666666664, 4.9999999999999996e-05
2.800000000000001, 0.031983333333333336, 2.666666666666667e-05
2.9000000000000012, 0.02595, 1.6666666666666667e-05
3.0000000000000013, 0.014566666666666667, 2.666666666666667e-05
3.1000000000000014, 0.022566666666666665, 1e-05
3.2000000000000015, 0.018016666666666667, 1e-05
3.3000000000000016, 0.013916666666666666, 1e-05
3.4000000000000017, 0.01155, 3.3333333333333337e-06
3.5000000000000018, 0.01615, 1e-05
3.600000000000002, 0.015950000000000002, 1.666666666666667e-05
3.700000000000002, 0.015633333333333332, 1e-05
3.800000000000002, 0.006216666666666666, 0.0
