p_std: 5.00, v_std: 0.10
bad:
1, 0.8875661227414369
2, 0.4339849786776196
3, 0.43493395032146953
4, 0.44366386522983514
5, 0.4582734047710082
6, 0.4669225594370482
7, 0.45305954053999287
8, 0.44198426812185926
9, 0.4467460490397359
10, 0.45492014847046186
11, 0.448312853666338
12, 0.43759327422134253
13, 0.4356969673820508
14, 0.4334764438783236
15, 0.4403029072869915
16, 0.44395312686559796
0, 0.44970762013864585
17, 0.43660931314242324
18, 0.42582733247199883
19, 0.42457307262334154
20, 0.42848598846402147
21, 0.42972901868203106
22, 0.41527067455847905
23, 0.4201884222289539
24, 0.4217848003917404
25, 0.40861124201986304
26, 0.39586427022655046
27, 0.40576438225742706
28, 0.4042952329610215
29, 0.4035189146929887
30, 0.3943882554114372
31, 0.3975946322700416
32, 0.38759839008587144
33, 0.37506128559388885
34, 0.3750054756406679
35, 0.37944921668938775
36, 0.372922821394302
37, 0.3853854127279163
38, 0.38504992294755946
39, 0.3758830251920375
40, 0.3556552973899365
41, 0.3633642951038077
42, 0.34365292116920715
43, 0.3450558990103266
44, 0.3579464313272383
45, 0.3412957848711058
46, 0.3307301009229103
47, 0.3401262411807659
48, 0.3384699136246983
49, 0.32628187188883084
50, 0.3329450537793765
51, 0.33021564757568617
52, 0.3202627758782459
53, 0.30864995610893253
54, 0.3142459219383691
55, 0.3016421277911577
56, 0.30057896093888337
57, 0.2851229145879273
58, 0.29281782172330645
59, 0.28906077886644027
60, 0.2842019067022547
61, 0.2925901598916883
62, 0.27411260376257646
63, 0.2881918788577022
64, 0.2810920717181588
65, 0.289992895481067
66, 0.273138601665858
67, 0.2749441729891309
68, 0.26656236230757063
69, 0.28330809852213745
70, 0.27312482546105943
71, 0.2739188890268259
72, 0.27202883212323326
73, 0.26409750835744866
74, 0.27983561881283775
75, 0.2727600690164608
76, 0.2667234873259551
77, 0.2791047828841506
78, 0.267743279856281
79, 0.27287709066028326
80, 0.2605029651145049
81, 0.28143256875728656
82, 0.27250941707750237
83, 0.26526701219998305
84, 0.28162981400196285
85, 0.2700725263613758
86, 0.2802573218551101
87, 0.2672771317582206
88, 0.2609335366636674
89, 0.2570349597324374
90, 0.2643672591156944
91, 0.2771357298996812
92, 0.2778157426009773
93, 0.270401184696844
