5, 0.2
threshold, TPR, FPR
0, 1.0, 1.0
0.2, 0.9994666666666667, 0.9990533333333333
0.4, 0.9980000000000001, 0.9961511111111111
0.6000000000000001, 0.9952222222222223, 0.9919866666666666
0.8, 0.9900666666666668, 0.9797733333333333
1.0, 0.8597333333333333, 0.4080533333333334
1.2, 0.6700222222222223, 0.024368888888888888
1.4, 0.5151555555555555, 0.008973333333333333
1.5999999999999999, 0.3895555555555556, 0.005182222222222223
1.7999999999999998, 0.2678888888888889, 0.0026266666666666673
1.9999999999999998, 0.18253333333333333, 0.0017022222222222222
2.1999999999999997, 0.11724444444444444, 0.001048888888888889
2.4, 0.069, 0.0005644444444444443
2.6, 0.03508888888888889, 0.0002577777777777778
2.8000000000000003, 0.017155555555555552, 0.0001511111111111111
3.0000000000000004, 0.007244444444444445, 4e-05
3.2000000000000006, 0.0015999999999999999, 2.2222222222222223e-05
3.400000000000001, 0.0014, 1.3333333333333332e-05
3.600000000000001, 0.0008444444444444445, 4.444444444444444e-06
3.800000000000001, 0.0007333333333333332, 4.444444444444444e-06
4.000000000000001, 0.0003777777777777778, 0.0
