threshold, TPR, FPR
0, 1.0, 1.0
0.2, 0.9997555555555556, 0.9986755555555556
0.4, 0.9989111111111111, 0.9950088888888889
0.6000000000000001, 0.9978666666666666, 0.9883911111111111
0.8, 0.9889777777777778, 0.8332222222222221
1.0, 0.9763333333333333, 0.3847333333333333
1.2, 0.9533777777777778, 0.11488
1.4, 0.9377111111111112, 0.03765777777777778
1.5999999999999999, 0.9165111111111112, 0.01690222222222222
1.7999999999999998, 0.9056444444444445, 0.00935111111111111
1.9999999999999998, 0.8860666666666667, 0.005031111111111111
2.1999999999999997, 0.8706, 0.0033288888888888886
2.4, 0.8494444444444444, 0.0016355555555555557
2.6, 0.8326666666666668, 0.0009199999999999999
2.8000000000000003, 0.8157111111111112, 0.000688888888888889
3.0000000000000004, 0.8046444444444445, 0.00038222222222222216
3.2000000000000006, 0.7899333333333333, 0.00021777777777777778
3.400000000000001, 0.7635111111111111, 0.00013333333333333334
3.600000000000001, 0.7278444444444444, 0.00010666666666666665
3.800000000000001, 0.7085111111111111, 0.00010222222222222223
4.000000000000001, 0.6963111111111111, 2.666666666666667e-05
4.200000000000001, 0.6769555555555556, 6.222222222222222e-05
4.400000000000001, 0.6368444444444444, 1.3333333333333332e-05
4.600000000000001, 0.6335333333333334, 1.7777777777777777e-05
4.800000000000002, 0.6026666666666666, 4.444444444444444e-06
5.000000000000002, 0.5998222222222223, 4.444444444444444e-06
5.200000000000002, 0.5749333333333334, 4.444444444444444e-06
5.400000000000002, 0.5552888888888888, 0.0
